	##Sequence_ID	Hit_Coordinates	NCBI_Taxon_ID	Taxon_Rank	Taxon_Name	Probability_Mass	Markers_Hit
0	SRR172903.971556 USI-EAS376:2:12:372:935 length=75	1.69	557760	no rank	RHODOBACTER SPHAEROIDES KD131	0.7034737289607189	concat
1	SRR172903.971556 USI-EAS376:2:12:372:935 length=75	1.69	349102	no rank	RHODOBACTER SPHAEROIDES ATCC 17025	0.28265346740388697	concat
2	SRR172903.971556 USI-EAS376:2:12:372:935 length=75	1.69	1063	species	RHODOBACTER SPHAEROIDES	0.0138728036353944	concat
3	SRR172903.673959 USI-EAS376:2:8:1100:258 length=75	1.72	633130	genus	THALASSOBIUM	0.0481813299524548	metk_noOuts
4	SRR172903.673959 USI-EAS376:2:8:1100:258 length=75	1.72	633131	species	THALASSIOBIUM SP. R2A62	0.0481813299524548	metk_noOuts
6	SRR172903.700845 USI-EAS376:2:8:1664:456 length=75	2.7	31989	family	RHODOBACTERACEAE	0.453085220297181	hsp70
7	SRR172903.700845 USI-EAS376:2:8:1664:456 length=75	2.7	245186	genus	LOKTANELLA	0.015813884559173	hsp70
8	SRR172903.700845 USI-EAS376:2:8:1664:456 length=75	2.7	1122180	no rank	LOKTANELLA HONGKONGENSIS DSM 17492	0.015813884559173	hsp70
9	SRR172903.700845 USI-EAS376:2:8:1664:456 length=75	2.7	278132	species	LOKTANELLA HONGKONGENSIS	0.015813884559173	hsp70
10	SRR172903.700845 USI-EAS376:2:8:1664:456 length=75	2.7	266	species	PARACOCCUS DENITRIFICANS	0.00525124062036877	hsp70
11	SRR172903.700845 USI-EAS376:2:8:1664:456 length=75	2.7	318586	no rank	PARACOCCUS DENITRIFICANS PD1222	0.00525124062036877	hsp70
12	SRR172903.700845 USI-EAS376:2:8:1664:456 length=75	2.7	265	genus	PARACOCCUS	0.00525124062036877	hsp70
14	SRR172903.71777 USI-EAS376:2:1:1414:706 length=75	3.74	483214	no rank	METHANOBREVIBACTER SMITHII DSM 2375	0.8925888296899108	concat
15	SRR172903.71777 USI-EAS376:2:1:1414:706 length=75	3.74	2173	species	METHANOBREVIBACTER SMITHII	0.0838876982936916	concat
16	SRR172903.71777 USI-EAS376:2:1:1414:706 length=75	3.74	256318	species	METAGENOME	0.0235234720163977	concat
17	SRR172903.140605 USI-EAS376:2:2:983:368 length=75	4.75	1282	species	STAPHYLOCOCCUS EPIDERMIDIS	0.571858571258856	concat
18	SRR172903.140605 USI-EAS376:2:2:983:368 length=75	4.75	979205	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIHLM057	0.143205416476714	concat
19	SRR172903.140605 USI-EAS376:2:2:983:368 length=75	4.75	979222	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH04008	0.142492030919715	concat
20	SRR172903.140605 USI-EAS376:2:2:983:368 length=75	4.75	764544	no rank	STAPHYLOCOCCUS EPIDERMIDIS FRI909	0.142443981344715	concat
21	SRR172903.408504 USI-EAS376:2:5:951:1294 length=75	1.75	1063	species	RHODOBACTER SPHAEROIDES	0.379248018409062	concat
22	SRR172903.408504 USI-EAS376:2:5:951:1294 length=75	1.75	557760	no rank	RHODOBACTER SPHAEROIDES KD131	0.193271905777981	concat
23	SRR172903.408504 USI-EAS376:2:5:951:1294 length=75	1.75	992186	no rank	RHODOBACTER SPHAEROIDES WS8N	0.142528215855986	concat
24	SRR172903.408504 USI-EAS376:2:5:951:1294 length=75	1.75	272943	no rank	RHODOBACTER SPHAEROIDES 2.4.1	0.142483405358986	concat
25	SRR172903.408504 USI-EAS376:2:5:951:1294 length=75	1.75	349101	no rank	RHODOBACTER SPHAEROIDES ATCC 17029	0.142468454597986	concat
26	SRR172903.933311 USI-EAS376:2:11:1303:979 length=75	1.75	1282	species	STAPHYLOCOCCUS EPIDERMIDIS	0.577058065792	concat
27	SRR172903.933311 USI-EAS376:2:11:1303:979 length=75	1.75	979205	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIHLM057	0.147358495803	concat
