##Sequence_ID	Hit_Coordinates	NCBI_Taxon_ID	Taxon_Rank	Taxon_Name	Probability_Mass	Markers_Hit
SRR172903.971556 USI-EAS376:2:12:372:935 length=75	1.69	557760	no rank	RHODOBACTER SPHAEROIDES KD131	0.703473728960719	concat
SRR172903.971556 USI-EAS376:2:12:372:935 length=75	1.69	349102	no rank	RHODOBACTER SPHAEROIDES ATCC 17025	0.282653467403887	concat
SRR172903.971556 USI-EAS376:2:12:372:935 length=75	1.69	1063	species	RHODOBACTER SPHAEROIDES	0.0138728036353944	concat
SRR172903.673959 USI-EAS376:2:8:1100:258 length=75	1.72	633130	genus	THALASSOBIUM	0.0481813299524548	metk_noOuts
SRR172903.673959 USI-EAS376:2:8:1100:258 length=75	1.72	633131	species	THALASSIOBIUM SP. R2A62	0.0481813299524548	metk_noOuts
SRR172903.673959 USI-EAS376:2:8:1100:258 length=75	1.72	Unknown	Unknown	Unclassifiable	0.90363734009509	metk_noOuts
SRR172903.700845 USI-EAS376:2:8:1664:456 length=75	2.70	31989	family	RHODOBACTERACEAE	0.453085220297181	hsp70
SRR172903.700845 USI-EAS376:2:8:1664:456 length=75	2.70	245186	genus	LOKTANELLA	0.015813884559173	hsp70
SRR172903.700845 USI-EAS376:2:8:1664:456 length=75	2.70	1122180	no rank	LOKTANELLA HONGKONGENSIS DSM 17492	0.015813884559173	hsp70
SRR172903.700845 USI-EAS376:2:8:1664:456 length=75	2.70	278132	species	LOKTANELLA HONGKONGENSIS	0.015813884559173	hsp70
SRR172903.700845 USI-EAS376:2:8:1664:456 length=75	2.70	266	species	PARACOCCUS DENITRIFICANS	0.00525124062036877	hsp70
SRR172903.700845 USI-EAS376:2:8:1664:456 length=75	2.70	318586	no rank	PARACOCCUS DENITRIFICANS PD1222	0.00525124062036877	hsp70
SRR172903.700845 USI-EAS376:2:8:1664:456 length=75	2.70	265	genus	PARACOCCUS	0.00525124062036877	hsp70
SRR172903.700845 USI-EAS376:2:8:1664:456 length=75	2.70	Unknown	Unknown	Unclassifiable	0.483719404164193	hsp70
SRR172903.71777 USI-EAS376:2:1:1414:706 length=75	3.74	483214	no rank	METHANOBREVIBACTER SMITHII DSM 2375	0.892588829689911	concat
SRR172903.71777 USI-EAS376:2:1:1414:706 length=75	3.74	2173	species	METHANOBREVIBACTER SMITHII	0.0838876982936916	concat
SRR172903.71777 USI-EAS376:2:1:1414:706 length=75	3.74	256318	species	METAGENOME	0.0235234720163977	concat
SRR172903.140605 USI-EAS376:2:2:983:368 length=75	4.75	1282	species	STAPHYLOCOCCUS EPIDERMIDIS	0.571858571258856	concat
SRR172903.140605 USI-EAS376:2:2:983:368 length=75	4.75	979205	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIHLM057	0.143205416476714	concat
SRR172903.140605 USI-EAS376:2:2:983:368 length=75	4.75	979222	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH04008	0.142492030919715	concat
SRR172903.140605 USI-EAS376:2:2:983:368 length=75	4.75	764544	no rank	STAPHYLOCOCCUS EPIDERMIDIS FRI909	0.142443981344715	concat
SRR172903.408504 USI-EAS376:2:5:951:1294 length=75	1.75	1063	species	RHODOBACTER SPHAEROIDES	0.379248018409062	concat
SRR172903.408504 USI-EAS376:2:5:951:1294 length=75	1.75	557760	no rank	RHODOBACTER SPHAEROIDES KD131	0.193271905777981	concat
SRR172903.408504 USI-EAS376:2:5:951:1294 length=75	1.75	992186	no rank	RHODOBACTER SPHAEROIDES WS8N	0.142528215855986	concat
SRR172903.408504 USI-EAS376:2:5:951:1294 length=75	1.75	272943	no rank	RHODOBACTER SPHAEROIDES 2.4.1	0.142483405358986	concat
SRR172903.408504 USI-EAS376:2:5:951:1294 length=75	1.75	349101	no rank	RHODOBACTER SPHAEROIDES ATCC 17029	0.142468454597986	concat
SRR172903.933311 USI-EAS376:2:11:1303:979 length=75	1.75	1282	species	STAPHYLOCOCCUS EPIDERMIDIS	0.577058065792	concat
SRR172903.933311 USI-EAS376:2:11:1303:979 length=75	1.75	979205	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIHLM057	0.147358495803	concat
SRR172903.933311 USI-EAS376:2:11:1303:979 length=75	1.75	979222	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH04008	0.1380938461	concat
SRR172903.933311 USI-EAS376:2:11:1303:979 length=75	1.75	764544	no rank	STAPHYLOCOCCUS EPIDERMIDIS FRI909	0.137489592305	concat
SRR172903.164150 USI-EAS376:2:2:1435:1949 length=75	1.75	1282	species	STAPHYLOCOCCUS EPIDERMIDIS	0.423597295128	concat
SRR172903.164150 USI-EAS376:2:2:1435:1949 length=75	1.75	904347	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU144	0.145253482641	concat
SRR172903.164150 USI-EAS376:2:2:1435:1949 length=75	1.75	979221	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH05001	0.144909213306	concat
SRR172903.164150 USI-EAS376:2:2:1435:1949 length=75	1.75	904325	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU071	0.143752512603	concat
SRR172903.164150 USI-EAS376:2:2:1435:1949 length=75	1.75	979222	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH04008	0.142487496322	concat
SRR172903.827005 USI-EAS376:2:10:722:694 length=75	2.73	1409439	no rank	STAPHYLOCOCCUS AUREUS AMMC6071	0.436328579588826	concat
SRR172903.827005 USI-EAS376:2:10:722:694 length=75	2.73	418127	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS MU3	0.237663915323905	concat
SRR172903.827005 USI-EAS376:2:10:722:694 length=75	2.73	1201010	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS SA957	0.09997085784286	concat
SRR172903.827005 USI-EAS376:2:10:722:694 length=75	2.73	1280	species	STAPHYLOCOCCUS AUREUS	0.0929895548064628	concat
SRR172903.827005 USI-EAS376:2:10:722:694 length=75	2.73	523796	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS ST398	0.0665235462189734	concat
SRR172903.827005 USI-EAS376:2:10:722:694 length=75	2.73	1155079	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS DR10	0.0665235462189734	concat
SRR172903.258287 USI-EAS376:2:3:1509:1406 length=75	2.61	46170	subspecies	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS	0.571592369338	concat
SRR172903.258287 USI-EAS376:2:3:1509:1406 length=75	2.61	1280	species	STAPHYLOCOCCUS AUREUS	0.285626625629	concat
SRR172903.258287 USI-EAS376:2:3:1509:1406 length=75	2.61	1409439	no rank	STAPHYLOCOCCUS AUREUS AMMC6071	0.142781005033	concat
SRR172903.594307 USI-EAS376:2:7:1205:68 length=75	3.74	1280	species	STAPHYLOCOCCUS AUREUS	0.283658897964284	concat
SRR172903.594307 USI-EAS376:2:7:1205:68 length=75	3.74	904732	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS 21202	0.145826519989146	concat
SRR172903.594307 USI-EAS376:2:7:1205:68 length=75	3.74	418127	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS MU3	0.142660485846143	concat
SRR172903.594307 USI-EAS376:2:7:1205:68 length=75	3.74	548475	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS TCH70	0.142636015581143	concat
SRR172903.594307 USI-EAS376:2:7:1205:68 length=75	3.74	46170	subspecies	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS	0.141156847620141	concat
SRR172903.594307 USI-EAS376:2:7:1205:68 length=75	3.74	523796	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS ST398	0.072030616499572	concat
SRR172903.594307 USI-EAS376:2:7:1205:68 length=75	3.74	1155079	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS DR10	0.072030616499572	concat
SRR172903.736043 USI-EAS376:2:9:607:1987 length=75	2.73	1297	phylum	DEINOCOCCUS THERMUS	0.365278838613573	concat
SRR172903.736043 USI-EAS376:2:9:607:1987 length=75	2.73	188787	class	DEINOCOCCI	0.365278838613573	concat
SRR172903.736043 USI-EAS376:2:9:607:1987 length=75	2.73	1454725	genus	CANDIDATUS CALDATRIBACTEIRUM	0.117062363307023	concat
SRR172903.736043 USI-EAS376:2:9:607:1987 length=75	2.73	418127	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS MU3	0.0380950886624076	concat
SRR172903.736043 USI-EAS376:2:9:607:1987 length=75	2.73	904143	no rank	STAPHYLOCOCCUS WARNERI A487	0.0380857515397076	concat
SRR172903.736043 USI-EAS376:2:9:607:1987 length=75	2.73	93062	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS COL	0.0380443736850076	concat
SRR172903.736043 USI-EAS376:2:9:607:1987 length=75	2.73	188709	family	THERMOTOGACEAE	0.00953868639467691	concat
SRR172903.736043 USI-EAS376:2:9:607:1987 length=75	2.73	200918	phylum	THERMOTOGAE	0.00953868639467691	concat
SRR172903.736043 USI-EAS376:2:9:607:1987 length=75	2.73	188708	class	THERMOTOGAE	0.00953868639467691	concat
SRR172903.736043 USI-EAS376:2:9:607:1987 length=75	2.73	2419	order	THERMOTOGALES	0.00953868639467691	concat
SRR172903.432766 USI-EAS376:2:5:1436:818 length=75	2.67	1280	species	STAPHYLOCOCCUS AUREUS	0.425953415586	concat
SRR172903.432766 USI-EAS376:2:5:1436:818 length=75	2.67	904732	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS 21202	0.146614036655	concat
SRR172903.432766 USI-EAS376:2:5:1436:818 length=75	2.67	869816	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS JKD6159	0.144898789859	concat
SRR172903.432766 USI-EAS376:2:5:1436:818 length=75	2.67	1409439	no rank	STAPHYLOCOCCUS AUREUS AMMC6071	0.141634373583	concat
SRR172903.432766 USI-EAS376:2:5:1436:818 length=75	2.67	46170	subspecies	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS	0.140899384317	concat
SRR172903.143445 USI-EAS376:2:2:1038:1390 length=75	1.75	1074171	no rank	STREPTOCOCCUS MUTANS TCI 244	0.147873315149852	concat
SRR172903.143445 USI-EAS376:2:2:1038:1390 length=75	1.75	857145	no rank	STREPTOCOCCUS MUTANS 15VF2	0.144128679788856	concat
SRR172903.143445 USI-EAS376:2:2:1038:1390 length=75	1.75	1309	species	STREPTOCOCCUS MUTANS	0.143319803420857	concat
SRR172903.143445 USI-EAS376:2:2:1038:1390 length=75	1.75	1074178	no rank	STREPTOCOCCUS MUTANS TCI 267	0.141339256437859	concat
SRR172903.143445 USI-EAS376:2:2:1038:1390 length=75	1.75	1074186	no rank	STREPTOCOCCUS MUTANS TCI 298	0.141162871744859	concat
SRR172903.143445 USI-EAS376:2:2:1038:1390 length=75	1.75	1074126	no rank	STREPTOCOCCUS MUTANS TCI 149	0.141129588269859	concat
SRR172903.143445 USI-EAS376:2:2:1038:1390 length=75	1.75	857143	no rank	STREPTOCOCCUS MUTANS 11VS1	0.141046485187859	concat
SRR172903.653561 USI-EAS376:2:8:653:1248 length=75	2.73	1282	species	STAPHYLOCOCCUS EPIDERMIDIS	0.266549095042073	concat
SRR172903.653561 USI-EAS376:2:8:653:1248 length=75	2.73	904347	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU144	0.246026034013975	concat
